Date,Open,High,Low,Close,Volume
2018-03-02 10:00:00,862.14,862.35,858.99,859.1,1286.29
2018-03-02 09:00:00,869.51,869.99,862.1,862.14,1910.14
2018-03-02 08:00:00,868.76,870.75,866.67,869.51,729.69
2018-03-02 07:00:00,871.0,871.0,868.74,868.76,672.6
2018-03-02 06:00:00,868.75,871.0,868.74,871.0,878.27
2018-03-02 05:00:00,869.0,869.0,867.4,868.75,736.02
2018-03-02 04:00:00,870.88,872.0,865.03,869.0,1838.2
2018-03-02 03:00:00,872.02,873.12,870.5,870.88,1636.32
2018-03-02 02:00:00,872.89,872.89,871.0,872.02,1464.09
2018-03-02 01:00:00,868.17,872.89,867.15,872.89,2331.08
2018-03-02 00:00:00,868.74,872.79,864.99,868.17,3551.38
2018-03-01 23:00:00,869.18,870.21,868.33,868.74,1180.1
2018-03-01 22:00:00,868.43,870.0,864.5,869.18,2421.06
2018-03-01 21:00:00,875.99,876.0,868.04,868.43,2279.79
2018-03-01 20:00:00,872.36,876.0,871.93,875.99,2197.15
2018-03-01 19:00:00,875.8,876.85,869.11,872.36,2293.5
2018-03-01 18:00:00,872.44,878.0,872.43,875.8,3828.8
2018-03-01 17:00:00,865.97,875.53,865.43,872.44,2520.23
2018-03-01 16:00:00,863.21,865.99,861.65,865.97,1579.73
2018-03-01 15:00:00,864.71,865.0,861.5,863.21,1679.68
2018-03-01 14:00:00,866.93,869.0,862.41,864.71,3254.57
2018-03-01 13:00:00,863.29,868.1,861.95,866.93,1879.19
2018-03-01 12:00:00,867.78,867.78,863.29,863.29,1276.19
2018-03-01 11:00:00,870.0,870.0,866.02,867.78,938.87
2018-03-01 10:00:00,865.38,870.0,864.72,870.0,1448.07
2018-03-01 09:00:00,868.12,868.12,863.7,865.38,1216.4
2018-03-01 08:00:00,861.0,868.12,861.0,868.12,3426.63
2018-03-01 07:00:00,857.58,861.0,857.56,861.0,2278.27
2018-03-01 06:00:00,858.04,858.31,855.46,857.58,696.97
2018-03-01 05:00:00,858.46,859.4,855.16,858.04,1711.99
2018-03-01 04:00:00,856.86,859.82,856.86,858.46,2216.36
2018-03-01 03:00:00,854.37,857.0,853.54,856.86,1086.77
2018-03-01 02:00:00,856.24,859.1,852.78,854.37,1720.5
2018-03-01 01:00:00,855.34,856.24,851.75,856.24,1941.41
2018-03-01 00:00:00,849.99,855.35,845.54,855.34,3827.07
2018-02-28 23:00:00,858.01,858.5,848.21,849.99,4672.09
2018-02-28 22:00:00,867.64,867.64,858.0,858.01,2707.53
2018-02-28 21:00:00,869.62,873.0,866.05,867.64,1836.95
2018-02-28 20:00:00,867.68,872.9,867.61,869.62,3408.53
2018-02-28 19:00:00,865.86,867.9,865.3,867.68,1096.44
2018-02-28 18:00:00,867.88,868.2,863.85,865.86,2879.62
2018-02-28 17:00:00,862.27,869.44,862.27,867.88,1732.61
2018-02-28 16:00:00,866.25,867.0,862.16,862.27,1934.51
2018-02-28 15:00:00,868.51,871.89,866.08,866.25,1787.58
2018-02-28 14:00:00,863.44,869.88,863.0,868.51,1252.4
2018-02-28 13:00:00,858.54,866.51,857.33,863.44,1714.67
2018-02-28 12:00:00,866.37,866.74,856.32,858.54,2487.63
2018-02-28 11:00:00,864.27,870.0,862.15,866.37,1448.52
2018-02-28 10:00:00,866.63,869.01,862.01,864.27,1512.4
2018-02-28 09:00:00,863.01,869.0,860.5,866.63,3462.22
2018-02-28 08:00:00,873.66,875.68,863.0,863.01,2540.18
2018-02-28 07:00:00,874.96,875.64,870.03,873.66,1878.66
2018-02-28 06:00:00,883.23,887.5,874.95,874.96,3387.61
2018-02-28 05:00:00,882.37,886.89,882.0,883.23,2039.78
2018-02-28 04:00:00,884.35,885.0,880.0,882.37,3018.84
2018-02-28 03:00:00,880.0,885.0,879.12,884.35,4134.2
2018-02-28 02:00:00,879.49,882.0,878.04,880.0,3504.29
2018-02-28 01:00:00,876.55,883.1,875.54,879.49,2244.41
2018-02-28 00:00:00,870.98,876.89,870.5,876.55,1451.69
2018-02-27 23:00:00,876.7,878.67,870.04,870.98,1548.84
2018-02-27 22:00:00,879.0,880.0,875.33,876.7,1965.96
2018-02-27 21:00:00,877.21,880.0,875.43,879.0,2896.74
2018-02-27 20:00:00,876.29,878.81,876.0,877.21,2246.33
2018-02-27 19:00:00,872.27,879.57,872.27,876.29,2548.81
2018-02-27 18:00:00,867.33,872.96,867.33,872.27,2223.11
2018-02-27 17:00:00,872.56,873.21,867.33,867.33,1579.14
2018-02-27 16:00:00,870.0,874.0,866.43,872.56,3554.04
2018-02-27 15:00:00,879.77,879.77,864.95,870.0,6277.93
2018-02-27 14:00:00,887.5,887.5,876.49,879.77,2305.91
